Title,Abstract,Name1,Company1,url
Designing streaming data pipelines: Best Practices and Considerations,"It's a great session for data engineers and data scientists to understand how streaming is different from batch and how it can enable real time machine learning. I will also walk through the real life production grade issues and lessons from the field on how to design and architect petabyte scale streaming systems. This talk was well received at IEEE Cloud Data Conference 2023, IDEAS Global Data and AI Summit 2023, The Data and Machine Learning Summit by Seattle Data Guy 2023.",Ankit Virmani,,https://www.linkedin.com/in/ankitvirmani/
Discover the Unseen: Tracking SES with CDK and TypeScript.,"Transformational voyage into Amazon SES by using CFDK! This will be an exciting discussion where we will open up and delve into the undetectable aspects of your email environment. Set up CloudWatch metrics and alarms for your emails using the CDK to enable live monitoring of your messages and take them a notch higher. The sessions cover strategies for translating delivery rates and maximising customer engagements, among others, to make emails more powerful and interactive. Have a fascinating journey with us that uncovers the secrets behind the Amazon SES and gives you access to all observability systems. Combine the powerful CDK magic with email observability for an elevated email strategy you can use 🌐✉️",Marcos  Henrique,,https://dev.to/wakeupmh
Advanced API Design for Scalable and Fault-Tolerant Data-Intensive Distributed Systems,"This proposal delves into RESTful principles, asynchronous operations, security considerations, techniques for optimizing data retrieval through pagination and filtering, exploration of caching and rate limiting, importance of idempotent operations and error handling in maintaining data consistency and facilitating seamless integration with evolving systems.


Learning objectives:

This topic aims to provide practical insights and guidelines for modern software engineers, architects, and developers involved in the creation and evolution of APIs for data-intensive distributed systems. By adopting the proposed advanced API design principles, organizations can achieve a balance between scalability, performance optimization and fault tolerance, ultimately contributing to the success of their distributed computing initiatives.


Advanced API Design:

1. RESTful Principles:
RESTful principles form the foundation of well-structured APIs, emphasizing stateless communication, resource-oriented design, and standard HTTP methods.
Adhering to RESTful principles ensures a standardized, scalable, and easily maintainable API architecture. It facilitates clear communication between clients and servers, promoting a consistent and predictable user experience.

2. Asynchronous Operations with Webhooks:
Asynchronous operations allow decoupling of processing tasks from the main application flow, while webhooks enable real-time communication by pushing data to subscribed servers when specific events occur.
By incorporating asynchronous operations and webhooks, APIs can handle time-consuming tasks efficiently, minimize latency, and provide real-time updates. This contributes to improved responsiveness and scalability, particularly in systems with fluctuating workloads.

3. Security:
Authentication mechanisms (e.g., OAuth, API keys), authorization strategies, data encryption (HTTPS), and protection against common security threats.
Security measures are paramount to safeguard data integrity, confidentiality, and prevent unauthorized access or malicious attacks. Robust security practices instill trust in the API and protect sensitive information from potential breaches.

4. Pagination and Filtering:
Pagination involves breaking down large result sets into manageable pages, while filtering allows clients to request specific data based on criteria.
Pagination and filtering optimize data retrieval, reduce bandwidth consumption, and enhance API performance, especially when dealing with large datasets. This ensures efficient use of resources and minimizes response times.

5. Caching:
Caching involves storing copies of frequently accessed data to reduce redundant computations or database queries.
Caching enhances API performance by minimizing the need for repeated data retrieval. It reduces latency and conserves resources, making it particularly beneficial for read-heavy operations and improving overall system responsiveness.

6. Rate Limiting:
Rate limiting restricts the number of requests a client can make within a specified time period.
Rate limiting prevents abuse, ensures fair resource usage, and protects the API from being overwhelmed by excessive requests. It promotes stability, reliability, and fair access to resources.

7. Idempotent Operations:
Idempotent operations produce the same result regardless of how many times they are executed.
Idempotence ensures consistency in the face of network issues or retries. It reduces the risk of unintended consequences, making operations more predictable and resilient.

8. Error Handling and Resilience:
Clear, standardized error responses, along with mechanisms for graceful error handling and recovery.
Effective error handling and resilience mechanisms contribute to the overall reliability of the API. Well-designed error responses enable clients to understand and respond appropriately to unexpected situations, while resilience ensures continued functionality despite failures.
",Santosh Nikhil Kumar,,https://www.linkedin.com/in/santoshadireddy/
Just don’t do it – Databases in Kubernetes,"You are not really crazy, are you? Running your beloved database in Kubernetes? This infrastructure is built to break and my database should not break! What actually is this Cloud Native nonsense? The latest and greatest marketing gig, let’s get out our buzzword-bingo cards!
Or… should we? Join me for an exploration of Cloud Native, Data on Kubernetes, why databases in containers make much sense, and why much of the fear is from a previous era. In this talk, you will see why more and more organizations look at Cloud Native infrastructures for deploying critical data workloads. You will explore options and opportunities for creating modern application architectures without having to fall into a split between your application and your back end.",Jan Karremans,,https://www.cybertec-postgresql.com/
The Future of the Cloud is WebAssembly,"Computing paradigms have come a long way from a solitary server down the hall to microservices with serverless functions. Now the time is right for a new wave of cloud compute.
WebAssembly is garnering a lot of excitement because of it's unique combination of portability, security, and performance. Because of these features, it is the perfect technology to build serverless applications.
This talk covers the virtues of WebAssembly as a cloud-side compute runtime including :
* How it works under the hood
* How it has support for numerous languages
* How it can run on many architectures and operating systems
* How it is lightweight and blazingly fast!
The session will also include a live code demo as we build a Wasm web app with Spin - an open source framework",Sohan Maheshwar,,http://sohan.co/videos.html
So You Want To Build An Event Driven System?,"Making your system 'event driven' is a common consideration when building modern systems. Especially if these applications leverage serverless technologies. But what does that actually mean in the real world? What are the benefits of adopting this architecture style, what are the challenges and some of the tradeoffs?

In this session, you'll learn all about that and more with tips taken from building event driven systems in the real world. Starting from why, understanding what and plenty of practical things you can take away and use in your own applications. From the simple, through to some advanced integration patterns that this architecture style unlocks. to improve the resilience, extensibility and scalability of your systems.",James Eastham,,https://www.youtube.com/@serverlessjames
Build cloud native apps anywhere!,,Pierre-olivier Patin,,https://www.linkedin.com/in/pierreolivierpatin/
AWS services,"Hello everyone,

I am thrilled to share my journey of diving into the world of Amazon Web Services (AWS). As a newcomer, I recently passed the AWS Cloud Practitioner exam, marking the first milestone in my cloud computing journey.

AWS, a comprehensive and broadly adopted cloud platform, offers over 200 fully-featured services from data centers globally. It's a vast universe, and stepping into it might seem daunting at first. However, the beauty of AWS lies in its ability to cater to everyone, from beginners to seasoned professionals.

Passing the AWS Cloud Practitioner exam was my first interaction with this universe. This foundational level certification provided me with a broad understanding of AWS. It covered core architectural principles, key services, security, and pricing models. It was like getting a tour of a new city, acquainting myself with its landmarks.

But the journey doesn't stop here. AWS is continually evolving, and there's always something new to learn. The next step for me is diving deeper into specific areas of interest. Whether it's computing power, database storage, content delivery, or machine learning, AWS has a path for it.

In conclusion, embarking on the AWS journey has been both challenging and rewarding. The AWS Cloud Practitioner exam was a great starting point, providing a solid foundation and sparking curiosity to explore further. I am excited about the journey ahead and look forward to unlocking new opportunities in the cloud computing landscape.

Thank you for allowing me to share my experience. I hope it encourages others to embark on their own AWS journey. Remember, every expert was once a beginner. Happy cloud computing!",Satbir Singh,,https://www.linkedin.com/in/satbir08/
Architecting Resilient Cloud Native Applications: A Practical Guide to Deployment and Runtime Patterns,"The rise of cloud-native architectures has revolutionized software development, enabling rapid deployment, scalability, and agility. However, this shift comes with inherent challenges, as cloud-native applications are more susceptible to failures due to their distributed nature and reliance on external services. To ensure the robustness and availability of these systems, architects and developers must employ effective resiliency patterns.

**Key Points:**

- **Deployment Patterns:**
    - Blue/Green Deployments: Simultaneously maintain two environments, seamlessly switching between them to minimize downtime.
    - Canary Deployments: Roll out new code gradually to a small subset of users, monitoring performance before wider rollout.
    - Dark Launches: Release new features to a subset of users without exposing them publicly, gathering feedback before full deployment.
- **Runtime Resiliency Patterns:**
    - Timeouts/Retries: Set time limits for responses and retry failed requests, mitigating intermittent failures.
    - Circuit Breakers: Temporarily disable failing services to prevent cascading failures, ensuring system stability.
    - Bulkhead: Limit the impact of failures by isolating services, preventing failures from spreading across the system.
    - Rate Limiting: Control the flow of incoming requests to prevent overload and ensure fair resource distribution.

**Why This Talk Matters:**

In a world increasingly demanding seamless and reliable digital experiences, resilient cloud-native applications are the cornerstone of success. This talk empowers developers and architects to design, implement, and manage resilient systems that can withstand disruptions, maintain uptime, and deliver exceptional user experiences. By mastering the deployment and runtime patterns discussed, you'll equip yourself with the tools to build robust, fault-tolerant applications that form the backbone of modern software ecosystems.",Ricardo Castro,,https://mccricardo.com
Unleash GenAI while remaining cost-effective with serverless,"GenerativeAI is rapidly reshaping the tech landscape. Its implementation, especially in intricate scenarios, often involves a sophisticated dance among application code, users, and multiple Large Language Models (LLMs). The complexity of coordinating these elements extends beyond the capabilities of basic API calls. While some vendors offer means to access LLMs, they fall short in guiding developers to construct an LLM framework that effectively balances responsiveness, accuracy, and cost-efficiency. Consequently, many projects grapple with unforeseen costs, pushing them beyond budget.

Addressing this challenge, our proposal centers on a serverless architecture. This approach adeptly orchestrates various language models, from Foundational to fine-tuned variants. It supports developers and organizations in building forward-thinking projects with specific Cloud Development Kit (CDK) constructs, tailored for effective model monitoring and coordination.

This talk delves into the GenAI solutions arena, highlighting diverse model approaches, whether deployed via APIs or other means. We will spotlight serverless architectures using AWS Lambda, AWS StepFunctions, and Amazon Bedrock, citing real-world applications. To streamline complexity, we transform these architectural elements into CDK constructs, offering developers a rapid and efficient launching pad for their projects.",Luca Bianchi,,https://www.linkedin.com/in/lucabianchipavia/
Creating Immutable Infrastructures with Kairos,"In this talk, we will introduce Kairos, an open-source project that aims to create immutable Operating Systems designed for Kubernetes. This includes a toolset that simplifies operations at the edge in a cloud-native way. 

Edge computing has become increasingly popular due to its ability to save costs by processing information closer to the data before sending filtered and computed information to a centralized application or data warehouse hosted in the cloud. Kubernetes is an ideal solution for edge computing because it natively builds components that facilitate the lifecycle management of modern edge applications.

However, as we scale the number of edge locations, we face operational challenges, such as interacting with cluster configurations at scale without creating unique configurations for each location, ensuring security for remote clusters and applications, upgrading Kubernetes clusters without specific domain knowledge, and minimizing disruptions during maintenance windows for smaller form factor hardware.

Kairos acts as an engine delivering immutable Kubernetes-enabled Linux OS from OCI conformant container images. It provides unique capabilities such as VPN peer-to-peer mesh, a distributed ledger to automate Kubernetes cluster bootstrapping and coordination, and zero-touch provisioning with a QR code scan. But more importantly, it uses a declarative model backed by Kubernetes CRDs. It manages distributed Kubernetes operations at the edge, from a centralized Kubernetes cluster.

In this presentation, we will explain the foundations and concepts of Kairos and demonstrate its capabilities.",Oluebube Princess Egbuna,,https://www.linkedin.com/in/egbunaoluebubeprincess/
Azure API Management: Architecting for Performance and Security,"This informative session offers a thorough exploration of Azure API Management, specifically delving into the nuances of enhancing API performance and ensuring robust security measures. Tailored for developers, architects, and IT professionals, the session aims to empower participants in harnessing Azure's capabilities for streamlined API management. The content seamlessly integrates theoretical insights with hands-on demonstrations, providing a holistic understanding of architecting APIs for optimal performance within the Azure environment. Attendees will gain practical knowledge on implementing effective security measures, ensuring a well-rounded comprehension of leveraging Azure API Management for efficient and secure API operations
",Rebai Hamida,,https://didourebai.medium.com/
Streamlined Microservices Orchestration on GKE,"# Embark on an Exciting Microservices Design Journey!

Join me as I unveil the unmatched spectacle of CI/CD, delving into the world of cutting-edge technologies. Witness the seamless integration of GKE, Helm, Cloud SQL Proxy, GitHub Actions, Docker, and Artifact Registry as we organize containerized microservices with unparalleled ease.

This discussion goes beyond technology; it’s a symphony of innovation, automation, and security deployment practices.

**Key Highlights:**
- Explore the power of GKE, Helm, Cloud SQL Proxy, GitHub Actions, Docker, and Artifact Registry.
- Experience a holistic approach to microservices design.
- Dive into the realms of innovation, automation, and security in deployment practices.",Shivam Kumar,,https://webworld.hashnode.dev/
Writing Kubernetes Operators with Golang,"Kubernetes Operators are used to extend the Kubernetes API to use our code and satisfy complex requirements of our own applications while simultaneously enjoying the benefits of Kubernetes

In this talk, we shall see what Kubernetes Operators are, what are Custom resources and how to write one in Go.",Animesh Rastogi,,https://www.linkedin.com/in/animeshrastogi54
How Enriching datasets approach using Apache Spark solves granular tracing issue in regulated financial services industry,"Apache Spark provides lot of options of joining the data for its data sets. This talk will focus on comparing the approach of Enriching the data (left outer join) versus filtering the data(inner join).How both approaches end up with same result and highlight the merits of Enriching the data approach helped us in CapitalOne. We at CapitalOne are heavy users of Spark from its initial days.This talk will provide more details of how we evolved from filtering to Enriching the data for credit card transactions and highlight what benefits we got by following Enriching the data approach. Being the financial institution, we are bound by regulation.We need to backtrace all credit card transactions processed thro our engine.Will be providing the details on how Enriching the data approach solved us this requirement. This talk will provide more context on how financial institutions can use Enriching the data approach for their Spark workloads and backtrace all the data they processed this approach. We have used the filtering approach in Production and what were it issues and why we moved to Enriching the data approach in Production will also be covered in this talk. Attendees will be able to take away the more details on Enriching and filtering options to decide on their use cases.",Gokul Prabagaren,,
The Art of Complex Deployments in Kubernetes Using Argo Rollouts,"""The Art of Complex Deployments in Kubernetes Using Argo Rollouts"" offers a deep dive into the advanced deployment capabilities of Kubernetes, facilitated by Argo Rollouts. In this session, Karan Jagtiani, a seasoned software engineer with extensive experience in DevOps and Kubernetes, will guide you through:

- The fundamentals of Argo Rollouts and its integration into Kubernetes.
- Detailed analysis of complex deployment techniques like canary and blue-green deployments.
- Real-world case studies demonstrating the effectiveness of Argo Rollouts in various scenarios.
- Practical tips for setting up, monitoring, and optimizing Argo Rollouts.
- Insights into overcoming common challenges and pitfalls in deployment processes.

This session aims to equip attendees with the knowledge and skills to implement sophisticated deployment strategies, ensuring high availability and reliability in their Kubernetes environments.",Karan Jagtiani,,https://karanjagtiani.com/
Journey Beyond: AWS Quest for Excellence,"For organizations that didn't rely on cloud services before it may be a challenging decision to define the right strategy for their AWS workload. MediaContact-Plus is one of the APA-Comm services that delivers your press information to top journalists and bloggers. The creation of this service kicked off the cloud journey in APA-Tech making MCP the odyssey for cloud-native integrations in the critical mission first application for media appliances. 

In this session, we will pass through how AWS powers the MCP and its evolution path to achieve operational excellence at all stages. Get into the unique perspective of how you can build and optimise the complete business offering with AWS.  You will pass through the hands-on perspective on AWS Managed Services, get vital hands-on tips, and strategic decision-making with special requirements for maximising your cloud experience. We will cover the essential CloudOps points, workload optimization, automation, challenges we have resolved over time, and how a variety of AWS services can be used to mitigate them.

This session is more than a walk-through and lessons learned; it's your guide to unlocking the full potential of AWS on a real production example and how to handle different cases with unusual approaches. Be prepared to elevate your understanding of AWS key services and gain practical wisdom for real-world production deployment.",Dmytro Hlotenko,,https://www.linkedin.com/in/dmytro-hlotenko-7aa348151/ https://medium.com/@lest173
Strategies for development and product management in SaaS: from idea to market success,"Evgeny Zagumennov, who holds the position of business development manager (product owner) at Yandex Cloud, will present his unique perspective on business development and product management strategies in the SaaS field. His talk will focus on the key aspects of creating and executing a successful SaaS business strategy, including product development, market positioning, and adaptation to changing market demands.
Evgeny will share his experience in planning and implementing strategies that promote business growth and sustainability in a dynamic IT environment. He will also look at the importance of considering user needs and expectations when designing a product, and how this impacts commercial success.
This report will be useful for professionals interested in deepening their knowledge of strategic planning and management in the SaaS industry, as well as for those seeking to develop their professional skills and careers in IT. Evgeny will emphasize how important it is to combine technical knowledge with business strategy to achieve success in the IT market.",Evgeny Zagumennov,,https://www.linkedin.com/in/euzagum/
Event-Driven Architectures: Orchestrating Cloud Native Workflows,"Modern applications demand agility and scalability, and event-driven architectures (EDAs) are at the forefront of this evolution. In this talk, we will explore the fundamentals of EDAs and their role in orchestrating cloud-native workflows. From event sourcing to message-driven microservices, we'll dissect the components that make EDAs a game-changer.

Key Topics:

- Understanding the core concepts of event-driven architectures
- Implementing event-driven workflows with cloud-native tools
- Real-world use cases and success stories
- Best practices for designing resilient and scalable systems
- Overcoming common challenges in EDA adoption

Join me for a dynamic and interactive session that will empower you to harness the full potential of event-driven architectures in your cloud-native projects.",Md. Mostafa Al Mahmud,,https://www.linkedin.com/in/md-mostafa/
Why repair a burning house? A guide to incident management,"You wouldn't rebuild a house until the fire is out, so why would you try to ""fix"" the incident until service is restored?
A (hypothetical) tale, definitely not based on hundreds of software incidents",Richard Finlay Tweed,,https://tales.fromprod.com/
Navigating the Digital Landscape with Intelligent Full Stack Observability,"
By incorporating observability at an earlier stage in the software lifecycle, engineers can anticipate and address performance issues that might typically go unnoticed until the code is running in a production environment. In this presentation, we will explore the utilization of AI/ML capabilities on AWS. AIOps empowers organizations to establish an advanced, proactive full-stack observability model, facilitating automated responses to emerging issues and leveraging data for enhanced resilience and optimization.",Manik Kashikar,,https://www.linkedin.com/in/manik-kashikar-7086b715/
Scalable and Secure Deployments with Cloud-Native AWS CodePipeline,"At its core, AWS CodePipeline is Amazon Web Services' cloud-native continuous integration and continuous delivery service, allowing users to automate the build, test, and deployment phases of their release process. Tailored to the vast AWS ecosystem, CodePipeline leverages other AWS cloud services, making it a seamless choice for teams already integrated with AWS cloud infrastructure. It promises scalability, maintenance ease, and enhanced security, characteristics inherent to many managed AWS services. We primarily compare this with Jenkins – an open-source automation server with a storied history. Known for its flexibility, Jenkins has garnered immense popularity thanks to its extensive plugin system. It's a tool that has grown with the CI/CD movement, evolving from a humble continuous integration tool to a comprehensive automation platform that can handle everything from build to deployment and more. ",Prithvish Kovelamudi,,
Architecting Resilient Microservices: A Deep Dive into Building a Service Mesh with Envoy,"In this presentation, we will delve into the intricacies of architecting resilient microservices by leveraging the power of a service mesh with Envoy. As organizations increasingly adopt microservices architectures, ensuring the resilience and reliability of these distributed systems becomes paramount. This talk aims to provide a comprehensive understanding of how to build a robust service mesh using Envoy, a high-performance proxy, as the cornerstone.
  We will also discuss some of the use cases and solutions built using service mesh with envoy.",Manik Kashikar,,https://www.linkedin.com/in/manik-kashikar-7086b715/
Benefits of using serverless in your projects,"**Abstract**:

In the rapidly evolving world of cloud computing, the term 'serverless' is more than just a buzzword; it's a game-changer for software development. This talk aims to demystify the concept of serverless architecture and demonstrate the tangible benefits it brings to your projects.

Join us as we dive into the essence of serverless computing, focusing on how AWS serverless services can significantly enhance your development speed while simultaneously reducing project costs. We'll explore the pivotal AWS serverless services that are reshaping the development landscape.

**Key Highlights**:

1. **Understanding Serverless**: Grasp the core principles of serverless architecture and its impact on modern software development.
2. **AWS Serverless Services**: Get acquainted with the most crucial AWS serverless offerings, understanding their roles and how they interconnect to provide a comprehensive solution.
3. **Cost-Efficiency and Scalability**: Learn how serverless computing makes financial sense for your business by offering a pay-as-you-go model, ensuring you only pay for what you use, and effortlessly scales with your needs.
4. **Live Demonstration**: Witness a real-time demonstration where we'll build a simple website and API using AWS serverless technologies. Experience firsthand the ease and speed of serverless development.

**Who Should Attend**:

This talk is tailored for cloud architects, software developers, and IT professionals who are keen to harness the potential of serverless architecture in their projects. Whether you're new to the concept or looking to refine your serverless strategy, this session will provide valuable insights and practical knowledge.

**Takeaway**:

Embark on a journey to understand the fundamentals of serverless computing, explore AWS's pivotal serverless services, and witness the creation of a serverless website and API from scratch. Leave the session equipped with the knowledge and confidence to leverage serverless technology in your projects, ensuring cost-efficiency, scalability, and rapid development.",Igor Ivanovic,,https://www.linkedin.com/in/ivanovicigor/
Can we implement asynchronous circuit breakers with serverless architecture?,"Join the adventure as we navigate the thrilling world of serverless applications facing the notorious 'trust no one' challenge while dealing with sporadic third-party API outages. In this mind-bending journey, discover unconventional solutions for an entirely asynchronous and event-driven architecture.

Ever wondered how to safeguard your app like a rock star at a concert? Meet the Async Circuit Breaker, the unsung hero backstage that keeps your performance from turning into chaos when external APIs hit a sour note.

Learn how to adapt the legendary synchronous circuit breaker concept to the asynchronous stage, ensuring your app rocks on gracefully even in the face of unexpected outages. Explore two ingenious approaches, from self-healing Lambda functions dynamically adjusting throughput to leveraging Dead Letter Queues (DLQ) as a subtle yet effective circuit breaker.

Dive deep into the tech buzzwords and witness how to protect your serverless marvels from third-party mayhem. Ready to break the mold? Buckle up for a session filled with out-of-the-box solutions and engage in a constructive discussion that might just change the way you tackle circuit breakers in your asynchronous serverless environment",Marcos  Henrique,,https://dev.to/wakeupmh
Best practices to manage AWS streaming data pipeline at scale,"The talk will cover best practices to manage streaming pipelines at scale to handle more than 1B+ events per day using AWS services to support real time analytics.Talk will cover topic such as canary implementations, shards management, lineage tracking and reconciliation process at scale to manage steam data and bring overall accuracy in data flow.  I will be covering an example of a framework that I have designed at AWS to process infrastructure logs at scale and provide visibility into over vulnerable hardware in the AWS ecosystem.  ",Akshay Dineshkumar Jain,,https://www.linkedin.com/in/akshaydjain/
Patterns for efficient serverless development,"Serverless is a very different paradigm from how we used to build software, and many people are struggling with the shift in mindset and approach.

But serverless doesn't have to be hard. Once you figure out the ""how"", it'd be like getting a superpower, you will be able to do much more with less time and effort and build better software faster.

Yan has run serverless workloads in production since 2016 and has made all the mistakes so you don't have to. He's going to show us what works and what doesn't.

He will walk us through a day in the life of a serverless developer, showing you how to write and test serverless applications, how to leverage ephemeral environments, how to manage CI roles, and architectural patterns and best practices for building scalable, secure and cost-efficient applications in the cloud.",Yan Cui,,http://theburningmonk.com
